From Win10 22H2.
api-ms-win-rtcore-ntuser-wmpointer-l1-1-3 -> user32.dll
api-ms-win-rtcore-ole32-clipboard-l1-1-1 -> ole32.dll
api-ms-win-rtcore-session-l1-1-1 -> 
api-ms-win-rtcore-session-l1-2-0 -> 
api-ms-win-security-accesshlpr-l1-1-0 -> sechost.dll
api-ms-win-security-activedirectoryclient-l1-1-1 -> kernelbase.dll
api-ms-win-security-appcontainer-l1-1-0 -> kernelbase.dll
api-ms-win-security-audit-l1-1-1 -> sechost.dll
api-ms-win-security-base-ansi-l1-1-0 -> advapi32.dll
api-ms-win-security-base-l1-1-1 -> kernelbase.dll
api-ms-win-security-base-l1-2-2 -> kernelbase.dll
api-ms-win-security-base-private-l1-1-1 -> kernelbase.dll
api-ms-win-security-capability-l1-1-1 -> sechost.dll
api-ms-win-security-cpwl-l1-1-0 -> advapi32.dll
api-ms-win-security-credentials-l1-1-0 -> sechost.dll
api-ms-win-security-credentials-l2-1-1 -> sechost.dll
api-ms-win-security-cryptoapi-l1-1-0 -> cryptsp.dll
api-ms-win-security-grouppolicy-l1-1-0 -> kernelbase.dll
api-ms-win-security-isolatedcontainer-l1-1-0 -> shcore.dll
api-ms-win-security-isolationapi-l1-1-0 -> sechost.dll
api-ms-win-security-isolationpolicy-l1-1-0 -> sechost.dll
api-ms-win-security-logon-l1-1-1 -> advapi32.dll
api-ms-win-security-lsalookup-ansi-l2-1-0 -> advapi32.dll
api-ms-win-security-lsalookup-l1-1-2 -> sechost.dll
api-ms-win-security-lsalookup-l2-1-1 -> advapi32.dll
api-ms-win-security-lsapolicy-l1-1-1 -> sechost.dll
api-ms-win-security-provider-ansi-l1-1-0 -> advapi32.dll
api-ms-win-security-provider-l1-1-0 -> ntmarta.dll
api-ms-win-security-sddl-ansi-l1-1-0 -> advapi32.dll
api-ms-win-security-sddl-l1-1-0 -> sechost.dll
api-ms-win-security-sddl-private-l1-1-0 -> sechost.dll
api-ms-win-security-sddlparsecond-l1-1-0 -> sechost.dll
api-ms-win-security-systemfunctions-l1-1-0 -> advapi32.dll
api-ms-win-security-trustee-l1-1-2 -> advapi32.dll
api-ms-win-service-core-ansi-l1-1-1 -> advapi32.dll
api-ms-win-service-core-l1-1-4 -> sechost.dll
api-ms-win-service-management-l1-1-0 -> sechost.dll
api-ms-win-service-management-l2-1-0 -> sechost.dll
api-ms-win-service-private-l1-1-5 -> sechost.dll
api-ms-win-service-private-l1-2-0 -> sechost.dll
api-ms-win-service-winsvc-l1-1-0 -> sechost.dll
api-ms-win-service-winsvc-l1-2-0 -> sechost.dll
api-ms-win-shcore-comhelpers-l1-1-0 -> shcore.dll
api-ms-win-shcore-obsolete-l1-1-0 -> shcore.dll
api-ms-win-shcore-path-l1-1-0 -> shcore.dll
api-ms-win-shcore-registry-l1-1-1 -> shcore.dll
api-ms-win-shcore-scaling-l1-1-2 -> shcore.dll
api-ms-win-shcore-stream-l1-1-0 -> shcore.dll
api-ms-win-shcore-stream-winrt-l1-1-0 -> shcore.dll
api-ms-win-shcore-sysinfo-l1-1-0 -> shcore.dll
api-ms-win-shcore-taskpool-l1-1-0 -> shcore.dll
api-ms-win-shcore-thread-l1-1-0 -> shcore.dll
api-ms-win-shcore-unicodeansi-l1-1-0 -> shcore.dll
api-ms-win-shell-associations-l1-1-1 -> windows.storage.dll
api-ms-win-shell-changenotify-l1-1-0 -> windows.storage.dll
api-ms-win-shell-dataobject-l1-1-0 -> windows.storage.dll
api-ms-win-shell-namespace-l1-1-0 -> windows.storage.dll
api-ms-win-shell-shdirectory-l1-1-0 -> shcore.dll
api-ms-win-shell-shellcom-l1-1-0 -> kernelbase.dll
api-ms-win-shell-shellfolders-l1-1-0 -> windows.storage.dll
api-ms-win-shlwapi-ie-l1-1-0 -> shlwapi.dll
api-ms-win-shlwapi-winrt-storage-l1-1-1 -> shlwapi.dll
api-ms-win-stateseparation-helpers-l1-1-0 -> kernelbase.dll
api-ms-win-storage-exports-external-l1-1-0 -> windows.storage.dll
api-ms-win-storage-exports-internal-l1-1-0 -> windows.storage.dll
